forward 2 | Horizontal: 2, Depth: 0, Aim: 0 (0)
forward 4 | Horizontal: 1484, Depth: 629511, Aim: 757 (934194324)
forward 9 | Horizontal: 1493, Depth: 636324, Aim: 757 (950031732)
forward 8 | Horizontal: 1501, Depth: 642380, Aim: 757 (964212380)
down 2    | Horizontal: 1501, Depth: 642380, Aim: 759 (964212380)
forward 3 | Horizontal: 1504, Depth: 644657, Aim: 759 (969564128)
forward 2 | Horizontal: 1506, Depth: 646175, Aim: 759 (973139550)
down 3    | Horizontal: 1506, Depth: 646175, Aim: 762 (973139550)
up 1      | Horizontal: 1506, Depth: 646175, Aim: 761 (973139550)
forward 6 | Horizontal: 1512, Depth: 650741, Aim: 761 (983920392)
down 3    | Horizontal: 1512, Depth: 650741, Aim: 764 (983920392)
down 7    | Horizontal: 1512, Depth: 650741, Aim: 771 (983920392)
down 3    | Horizontal: 1512, Depth: 650741, Aim: 774 (983920392)
down 5    | Horizontal: 1512, Depth: 650741, Aim: 779 (983920392)
down 9    | Horizontal: 1512, Depth: 650741, Aim: 788 (983920392)
up 9      | Horizontal: 1512, Depth: 650741, Aim: 779 (983920392)
forward 8 | Horizontal: 1520, Depth: 656973, Aim: 779 (998598960)
forward 6 | Horizontal: 1526, Depth: 661647, Aim: 779 (1009673322)
down 8    | Horizontal: 1526, Depth: 661647, Aim: 787 (1009673322)
forward 3 | Horizontal: 1529, Depth: 664008, Aim: 787 (1015268232)
down 4    | Horizontal: 1529, Depth: 664008, Aim: 791 (1015268232)
down 2    | Horizontal: 1529, Depth: 664008, Aim: 793 (1015268232)
down 9    | Horizontal: 1529, Depth: 664008, Aim: 802 (1015268232)
forward 4 | Horizontal: 1533, Depth: 667216, Aim: 802 (1022842128)
forward 2 | Horizontal: 1535, Depth: 668820, Aim: 802 (1026638700)
up 4      | Horizontal: 1535, Depth: 668820, Aim: 798 (1026638700)
forward 1 | Horizontal: 1536, Depth: 669618, Aim: 798 (1028533248)
up 8      | Horizontal: 1536, Depth: 669618, Aim: 790 (1028533248)
up 1      | Horizontal: 1536, Depth: 669618, Aim: 789 (1028533248)
down 4    | Horizontal: 1536, Depth: 669618, Aim: 793 (1028533248)
up 2      | Horizontal: 1536, Depth: 669618, Aim: 791 (1028533248)
down 1    | Horizontal: 1536, Depth: 669618, Aim: 792 (1028533248)
up 7      | Horizontal: 1536, Depth: 669618, Aim: 785 (1028533248)
down 2    | Horizontal: 1536, Depth: 669618, Aim: 787 (1028533248)
down 4    | Horizontal: 1536, Depth: 669618, Aim: 791 (1028533248)
up 4      | Horizontal: 1536, Depth: 669618, Aim: 787 (1028533248)
forward 2 | Horizontal: 1538, Depth: 671192, Aim: 787 (1032293296)
down 3    | Horizontal: 1538, Depth: 671192, Aim: 790 (1032293296)
forward 2 | Horizontal: 1540, Depth: 672772, Aim: 790 (1036068880)
forward 3 | Horizontal: 1543, Depth: 675142, Aim: 790 (1041744106)
down 5    | Horizontal: 1543, Depth: 675142, Aim: 795 (1041744106)
forward 9 | Horizontal: 1552, Depth: 682297, Aim: 795 (1058924944)
forward 7 | Horizontal: 1559, Depth: 687862, Aim: 795 (1072376858)
down 1    | Horizontal: 1559, Depth: 687862, Aim: 796 (1072376858)
up 3      | Horizontal: 1559, Depth: 687862, Aim: 793 (1072376858)
down 3    | Horizontal: 1559, Depth: 687862, Aim: 796 (1072376858)
forward 3 | Horizontal: 1562, Depth: 690250, Aim: 796 (1078170500)
down 6    | Horizontal: 1562, Depth: 690250, Aim: 802 (1078170500)
forward 5 | Horizontal: 1567, Depth: 694260, Aim: 802 (1087905420)
up 3      | Horizontal: 1567, Depth: 694260, Aim: 799 (1087905420)
up 3      | Horizontal: 1567, Depth: 694260, Aim: 796 (1087905420)
up 1      | Horizontal: 1567, Depth: 694260, Aim: 795 (1087905420)
forward 7 | Horizontal: 1574, Depth: 699825, Aim: 795 (1101524550)
forward 1 | Horizontal: 1575, Depth: 700620, Aim: 795 (1103476500)
forward 2 | Horizontal: 1577, Depth: 702210, Aim: 795 (1107385170)
forward 2 | Horizontal: 1579, Depth: 703800, Aim: 795 (1111300200)
down 4    | Horizontal: 1579, Depth: 703800, Aim: 799 (1111300200)
up 7      | Horizontal: 1579, Depth: 703800, Aim: 792 (1111300200)
forward 1 | Horizontal: 1580, Depth: 704592, Aim: 792 (1113255360)
forward 1 | Horizontal: 1581, Depth: 705384, Aim: 792 (1115212104)
forward 6 | Horizontal: 1587, Depth: 710136, Aim: 792 (1126985832)
down 8    | Horizontal: 1587, Depth: 710136, Aim: 800 (1126985832)
up 8      | Horizontal: 1587, Depth: 710136, Aim: 792 (1126985832)
down 8    | Horizontal: 1587, Depth: 710136, Aim: 800 (1126985832)
down 4    | Horizontal: 1587, Depth: 710136, Aim: 804 (1126985832)
down 6    | Horizontal: 1587, Depth: 710136, Aim: 810 (1126985832)
forward 8 | Horizontal: 1595, Depth: 716616, Aim: 810 (1143002520)
forward 4 | Horizontal: 1599, Depth: 719856, Aim: 810 (1151049744)
forward 5 | Horizontal: 1604, Depth: 723906, Aim: 810 (1161145224)
down 2    | Horizontal: 1604, Depth: 723906, Aim: 812 (1161145224)
down 3    | Horizontal: 1604, Depth: 723906, Aim: 815 (1161145224)
forward 7 | Horizontal: 1611, Depth: 729611, Aim: 815 (1175403321)
down 6    | Horizontal: 1611, Depth: 729611, Aim: 821 (1175403321)
forward 4 | Horizontal: 1615, Depth: 732895, Aim: 821 (1183625425)
forward 1 | Horizontal: 1616, Depth: 733716, Aim: 821 (1185685056)
up 7      | Horizontal: 1616, Depth: 733716, Aim: 814 (1185685056)
up 5      | Horizontal: 1616, Depth: 733716, Aim: 809 (1185685056)
up 2      | Horizontal: 1616, Depth: 733716, Aim: 807 (1185685056)
forward 1 | Horizontal: 1617, Depth: 734523, Aim: 807 (1187723691)
forward 8 | Horizontal: 1625, Depth: 740979, Aim: 807 (1204090875)
forward 2 | Horizontal: 1627, Depth: 742593, Aim: 807 (1208198811)
up 9      | Horizontal: 1627, Depth: 742593, Aim: 798 (1208198811)
forward 4 | Horizontal: 1631, Depth: 745785, Aim: 798 (1216375335)
forward 5 | Horizontal: 1636, Depth: 749775, Aim: 798 (1226631900)
down 2    | Horizontal: 1636, Depth: 749775, Aim: 800 (1226631900)
forward 5 | Horizontal: 1641, Depth: 753775, Aim: 800 (1236944775)
forward 7 | Horizontal: 1648, Depth: 759375, Aim: 800 (1251450000)
down 3    | Horizontal: 1648, Depth: 759375, Aim: 803 (1251450000)
forward 1 | Horizontal: 1649, Depth: 760178, Aim: 803 (1253533522)
down 3    | Horizontal: 1649, Depth: 760178, Aim: 806 (1253533522)
up 5      | Horizontal: 1649, Depth: 760178, Aim: 801 (1253533522)
up 2      | Horizontal: 1649, Depth: 760178, Aim: 799 (1253533522)
up 2      | Horizontal: 1649, Depth: 760178, Aim: 797 (1253533522)
up 2      | Horizontal: 1649, Depth: 760178, Aim: 795 (1253533522)
forward 4 | Horizontal: 1653, Depth: 763358, Aim: 795 (1261830774)
forward 4 | Horizontal: 1657, Depth: 766538, Aim: 795 (1270153466)
forward 8 | Horizontal: 1665, Depth: 772898, Aim: 795 (1286875170)
forward 2 | Horizontal: 1667, Depth: 774488, Aim: 795 (1291071496)
down 3    | Horizontal: 1667, Depth: 774488, Aim: 798 (1291071496)
up 7      | Horizontal: 1667, Depth: 774488, Aim: 791 (1291071496)
down 4    | Horizontal: 1667, Depth: 774488, Aim: 795 (1291071496)
down 2    | Horizontal: 1667, Depth: 774488, Aim: 797 (1291071496)
down 7    | Horizontal: 1667, Depth: 774488, Aim: 804 (1291071496)
forward 2 | Horizontal: 1669, Depth: 776096, Aim: 804 (1295304224)
down 2    | Horizontal: 1669, Depth: 776096, Aim: 806 (1295304224)
forward 7 | Horizontal: 1676, Depth: 781738, Aim: 806 (1310192888)
up 9      | Horizontal: 1676, Depth: 781738, Aim: 797 (1310192888)
up 7      | Horizontal: 1676, Depth: 781738, Aim: 790 (1310192888)
forward 7 | Horizontal: 1683, Depth: 787268, Aim: 790 (1324972044)
forward 7 | Horizontal: 1690, Depth: 792798, Aim: 790 (1339828620)
down 3    | Horizontal: 1690, Depth: 792798, Aim: 793 (1339828620)
down 4    | Horizontal: 1690, Depth: 792798, Aim: 797 (1339828620)
up 4      | Horizontal: 1690, Depth: 792798, Aim: 793 (1339828620)
down 2    | Horizontal: 1690, Depth: 792798, Aim: 795 (1339828620)
down 8    | Horizontal: 1690, Depth: 792798, Aim: 803 (1339828620)
forward 4 | Horizontal: 1694, Depth: 796010, Aim: 803 (1348440940)
down 1    | Horizontal: 1694, Depth: 796010, Aim: 804 (1348440940)
up 6      | Horizontal: 1694, Depth: 796010, Aim: 798 (1348440940)
forward 4 | Horizontal: 1698, Depth: 799202, Aim: 798 (1357044996)
down 2    | Horizontal: 1698, Depth: 799202, Aim: 800 (1357044996)
up 8      | Horizontal: 1698, Depth: 799202, Aim: 792 (1357044996)
down 1    | Horizontal: 1698, Depth: 799202, Aim: 793 (1357044996)
down 8    | Horizontal: 1698, Depth: 799202, Aim: 801 (1357044996)
down 6    | Horizontal: 1698, Depth: 799202, Aim: 807 (1357044996)
up 9      | Horizontal: 1698, Depth: 799202, Aim: 798 (1357044996)
forward 4 | Horizontal: 1702, Depth: 802394, Aim: 798 (1365674588)
up 1      | Horizontal: 1702, Depth: 802394, Aim: 797 (1365674588)
down 2    | Horizontal: 1702, Depth: 802394, Aim: 799 (1365674588)
down 9    | Horizontal: 1702, Depth: 802394, Aim: 808 (1365674588)
down 7    | Horizontal: 1702, Depth: 802394, Aim: 815 (1365674588)
down 4    | Horizontal: 1702, Depth: 802394, Aim: 819 (1365674588)
down 8    | Horizontal: 1702, Depth: 802394, Aim: 827 (1365674588)
down 8    | Horizontal: 1702, Depth: 802394, Aim: 835 (1365674588)
up 1      | Horizontal: 1702, Depth: 802394, Aim: 834 (1365674588)
down 5    | Horizontal: 1702, Depth: 802394, Aim: 839 (1365674588)
up 5      | Horizontal: 1702, Depth: 802394, Aim: 834 (1365674588)
down 7    | Horizontal: 1702, Depth: 802394, Aim: 841 (1365674588)
up 7      | Horizontal: 1702, Depth: 802394, Aim: 834 (1365674588)
forward 5 | Horizontal: 1707, Depth: 806564, Aim: 834 (1376804748)
down 3    | Horizontal: 1707, Depth: 806564, Aim: 837 (1376804748)
forward 7 | Horizontal: 1714, Depth: 812423, Aim: 837 (1392493022)
up 5      | Horizontal: 1714, Depth: 812423, Aim: 832 (1392493022)
down 3    | Horizontal: 1714, Depth: 812423, Aim: 835 (1392493022)
forward 9 | Horizontal: 1723, Depth: 819938, Aim: 835 (1412753174)
up 5      | Horizontal: 1723, Depth: 819938, Aim: 830 (1412753174)
down 7    | Horizontal: 1723, Depth: 819938, Aim: 837 (1412753174)
forward 8 | Horizontal: 1731, Depth: 826634, Aim: 837 (1430903454)
forward 8 | Horizontal: 1739, Depth: 833330, Aim: 837 (1449160870)
down 2    | Horizontal: 1739, Depth: 833330, Aim: 839 (1449160870)
forward 7 | Horizontal: 1746, Depth: 839203, Aim: 839 (1465248438)
forward 8 | Horizontal: 1754, Depth: 845915, Aim: 839 (1483734910)
down 4    | Horizontal: 1754, Depth: 845915, Aim: 843 (1483734910)
up 7      | Horizontal: 1754, Depth: 845915, Aim: 836 (1483734910)
down 2    | Horizontal: 1754, Depth: 845915, Aim: 838 (1483734910)
up 7      | Horizontal: 1754, Depth: 845915, Aim: 831 (1483734910)
forward 5 | Horizontal: 1759, Depth: 850070, Aim: 831 (1495273130)
down 1    | Horizontal: 1759, Depth: 850070, Aim: 832 (1495273130)
down 3    | Horizontal: 1759, Depth: 850070, Aim: 835 (1495273130)
forward 9 | Horizontal: 1768, Depth: 857585, Aim: 835 (1516210280)
up 4      | Horizontal: 1768, Depth: 857585, Aim: 831 (1516210280)
forward 6 | Horizontal: 1774, Depth: 862571, Aim: 831 (1530200954)
forward 4 | Horizontal: 1778, Depth: 865895, Aim: 831 (1539561310)
down 5    | Horizontal: 1778, Depth: 865895, Aim: 836 (1539561310)
down 7    | Horizontal: 1778, Depth: 865895, Aim: 843 (1539561310)
forward 2 | Horizontal: 1780, Depth: 867581, Aim: 843 (1544294180)
forward 4 | Horizontal: 1784, Depth: 870953, Aim: 843 (1553780152)
down 2    | Horizontal: 1784, Depth: 870953, Aim: 845 (1553780152)
forward 1 | Horizontal: 1785, Depth: 871798, Aim: 845 (1556159430)
down 5    | Horizontal: 1785, Depth: 871798, Aim: 850 (1556159430)
up 2      | Horizontal: 1785, Depth: 871798, Aim: 848 (1556159430)
down 8    | Horizontal: 1785, Depth: 871798, Aim: 856 (1556159430)
down 1    | Horizontal: 1785, Depth: 871798, Aim: 857 (1556159430)
down 4    | Horizontal: 1785, Depth: 871798, Aim: 861 (1556159430)
down 8    | Horizontal: 1785, Depth: 871798, Aim: 869 (1556159430)
down 6    | Horizontal: 1785, Depth: 871798, Aim: 875 (1556159430)
forward 9 | Horizontal: 1794, Depth: 879673, Aim: 875 (1578133362)
forward 2 | Horizontal: 1796, Depth: 881423, Aim: 875 (1583035708)
forward 6 | Horizontal: 1802, Depth: 886673, Aim: 875 (1597784746)
forward 4 | Horizontal: 1806, Depth: 890173, Aim: 875 (1607652438)
down 1    | Horizontal: 1806, Depth: 890173, Aim: 876 (1607652438)
forward 8 | Horizontal: 1814, Depth: 897181, Aim: 876 (1627486334)
up 4      | Horizontal: 1814, Depth: 897181, Aim: 872 (1627486334)
forward 6 | Horizontal: 1820, Depth: 902413, Aim: 872 (1642391660)
down 4    | Horizontal: 1820, Depth: 902413, Aim: 876 (1642391660)
forward 4 | Horizontal: 1824, Depth: 905917, Aim: 876 (1652392608)
forward 3 | Horizontal: 1827, Depth: 908545, Aim: 876 (1659911715)
forward 6 | Horizontal: 1833, Depth: 913801, Aim: 876 (1674997233)
forward 9 | Horizontal: 1842, Depth: 921685, Aim: 876 (1697743770)
forward 8 | Horizontal: 1850, Depth: 928693, Aim: 876 (1718082050)
down 1    | Horizontal: 1850, Depth: 928693, Aim: 877 (1718082050)
forward 5 | Horizontal: 1855, Depth: 933078, Aim: 877 (1730859690)
down 8    | Horizontal: 1855, Depth: 933078, Aim: 885 (1730859690)
forward 7 | Horizontal: 1862, Depth: 939273, Aim: 885 (1748926326)
up 1      | Horizontal: 1862, Depth: 939273, Aim: 884 (1748926326)
down 3    | Horizontal: 1862, Depth: 939273, Aim: 887 (1748926326)
up 6      | Horizontal: 1862, Depth: 939273, Aim: 881 (1748926326)
forward 5 | Horizontal: 1867, Depth: 943678, Aim: 881 (1761846826)
forward 8 | Horizontal: 1875, Depth: 950726, Aim: 881 (1782611250)
forward 8 | Horizontal: 1883, Depth: 957774, Aim: 881 (1803488442)
forward 5 | Horizontal: 1888, Depth: 962179, Aim: 881 (1816593952)
forward 5 | Horizontal: 1893, Depth: 966584, Aim: 881 (1829743512)
forward 1 | Horizontal: 1894, Depth: 967465, Aim: 881 (1832378710)
up 9      | Horizontal: 1894, Depth: 967465, Aim: 872 (1832378710)
forward 7 | Horizontal: 1901, Depth: 973569, Aim: 872 (1850754669)
up 3      | Horizontal: 1901, Depth: 973569, Aim: 869 (1850754669)
down 2    | Horizontal: 1901, Depth: 973569, Aim: 871 (1850754669)
down 4    | Horizontal: 1901, Depth: 973569, Aim: 875 (1850754669)
forward 6 | Horizontal: 1907, Depth: 978819, Aim: 875 (1866607833)
up 2      | Horizontal: 1907, Depth: 978819, Aim: 873 (1866607833)
forward 5 | Horizontal: 1912, Depth: 983184, Aim: 873 (1879847808)
up 8      | Horizontal: 1912, Depth: 983184, Aim: 865 (1879847808)
forward 8 | Horizontal: 1920, Depth: 990104, Aim: 865 (1900999680)
forward 2 | Horizontal: 1922, Depth: 991834, Aim: 865 (1906304948)
forward 6 | Horizontal: 1928, Depth: 997024, Aim: 865 (1922262272)
forward 3 | Horizontal: 1931, Depth: 999619, Aim: 865 (1930264289)
up 4      | Horizontal: 1931, Depth: 999619, Aim: 861 (1930264289)
forward 3 | Horizontal: 1934, Depth: 1002202, Aim: 861 (1938258668)
forward 6 | Horizontal: 1940, Depth: 1007368, Aim: 861 (1954293920)
